Date,コスト,インプレッション数,クリック数,登録数,入金数,初回入金単価[Meta:Purchase],"入金数
[BO: Asp]","初回入金単価
[BO: Asp]"
1/1,$0.00 ,0,0,0,0,0.00,0,0.00
1/2,$0.00 ,0,0,0,0,0.00,0,0.00
1/3,$0.00 ,0,0,0,0,0.00,0,0.00
1/4,$0.00 ,0,0,0,0,0.00,0,0.00
1/5,$0.00 ,0,0,0,0,0.00,0,0.00
1/6,$0.00 ,0,0,0,0,0.00,0,0.00
1/7,$0.00 ,0,0,0,0,0.00,0,0.00
1/8,$0.00 ,0,0,0,0,0.00,0,0.00
1/9,$48.50 ,"1,961",42,1,0,0.00,0,0.00
1/10,$45.22 ,"1,198",27,7,0,0.00,0,0.00
1/11,$24.94 ,"2,475",169,13,0,0.00,0,0.00
1/12,$24.94 ,"2,475",169,8,0,0.00,0,0.00
1/13,$93.03 ,"7,983",194,6,1,93.03,1,93.03
1/14,$147.54 ,"14,687",313,4,0,0.00,0,0.00
1/15,$72.75 ,"5,668",158,8,2,36.38,2,36.38
1/16,$9.66 ,598,19,3,0,0.00,0,0.00
1/17,$0.00 ,0,7,0,2,0.00,2,0.00
1/18,$0.00 ,0,8,0,1,0.00,1,0.00
1/19,$6.84 ,296,9,0,0,0.00,0,0.00
1/20,$0.00 ,0,5,0,0,0.00,0,0.00
1/21,$32.59 ,"2,519",94,0,0,0.00,0,0.00
1/22,$0.00 ,0,1,0,0,0.00,0,0.00
1/23,$40.20 ,"3,926",12,2,0,0.00,0,0.00
1/24,$31.23 ,"2,387",194,2,0,0.00,0,0.00
1/25,$5.62 ,184,3,0,0,0.00,0,0.00
1/26,$20.04 ,"1,665",63,0,0,0.00,0,0.00
1/27,$41.96 ,"2,491",94,2,0,0.00,0,0.00
1/28,$0.00 ,0,0,0,0,0.00,0,0.00
1/29,$0.00 ,0,0,0,0,0.00,0,0.00
1/30,$0.00 ,0,0,0,0,0.00,0,0.00
1/31,$0.00 ,0,0,0,0,0.00,#VALUE!,0.00
Jan-2026 Total,$645.06 ,"50,513","1,581",56,6,107.51,#VALUE!,0.00
2/1,,,,,,0.00,,0.00
2/2,,,,,,0.00,,0.00
2/3,,,,,,0.00,,0.00
2/4,,,,,,0.00,,0.00
2/5,,,,,,0.00,,0.00
2/6,,,,,,0.00,,0.00
2/7,,,,,,0.00,,0.00
2/8,,,,,,0.00,,0.00
2/9,,,,,,0.00,,0.00
2/10,,,,,,0.00,,0.00
2/11,,,,,,0.00,,0.00
2/12,,,,,,0.00,,0.00
2/13,,,,,,0.00,,0.00
2/14,,,,,,0.00,,0.00
2/15,,,,,,0.00,,0.00
2/16,,,,,,0.00,,0.00
2/17,,,,,,0.00,,0.00
2/18,,,,,,0.00,,0.00
2/19,,,,,,0.00,,0.00
2/20,,,,,,0.00,,0.00
2/21,,,,,,0.00,,0.00
2/22,,,,,,0.00,,0.00
2/23,,,,,,0.00,,0.00
2/24,,,,,,0.00,,0.00
2/25,,,,,,0.00,,0.00
2/26,,,,,,0.00,,0.00
2/27,,,,,,0.00,,0.00
2/28,,,,,,0.00,,0.00
Feb-2026 Total,$0.00 ,0,0,,0,0.00,0,0.00
3/1,,,,,,0.00,,0.00
3/2,,,,,,0.00,,0.00
3/3,,,,,,0.00,,0.00
3/4,,,,,,0.00,,0.00
3/5,,,,,,0.00,,0.00
3/6,,,,,,0.00,,0.00
3/7,,,,,,0.00,,0.00
3/8,,,,,,0.00,,0.00
3/9,,,,,,0.00,,0.00
3/10,,,,,,0.00,,0.00
3/11,,,,,,0.00,,0.00
3/12,,,,,,0.00,,0.00
3/13,,,,,,0.00,,0.00
3/14,,,,,,0.00,,0.00
3/15,,,,,,0.00,,0.00
3/16,,,,,,0.00,,0.00
3/17,,,,,,0.00,,0.00
3/18,,,,,,0.00,,0.00
3/19,,,,,,0.00,,0.00
3/20,,,,,,0.00,,0.00
3/21,,,,,,0.00,,0.00
3/22,,,,,,0.00,,0.00
3/23,,,,,,0.00,,0.00
3/24,,,,,,0.00,,0.00
3/25,,,,,,0.00,,0.00
3/26,,,,,,0.00,,0.00
3/27,,,,,,0.00,,0.00
3/28,,,,,,0.00,,0.00
3/29,,,,,,0.00,,0.00
3/30,,,,,,0.00,,0.00
3/31,,,,,,0.00,,0.00
Mar-2026 Total,$0.00 ,0,0,,0,0.00,0,0.00
4/1,,,,,,0.00,,0.00
4/2,,,,,,0.00,,0.00
4/3,,,,,,0.00,,0.00
4/4,,,,,,0.00,,0.00
4/5,,,,,,0.00,,0.00
4/6,,,,,,0.00,,0.00
4/7,,,,,,0.00,,0.00
4/8,,,,,,0.00,,0.00
4/9,,,,,,0.00,,0.00
4/10,,,,,,0.00,,0.00
4/11,,,,,,0.00,,0.00
4/12,,,,,,0.00,,0.00
4/13,,,,,,0.00,,0.00
4/14,,,,,,0.00,,0.00
4/15,,,,,,0.00,,0.00
4/16,,,,,,0.00,,0.00
4/17,,,,,,0.00,,0.00
4/18,,,,,,0.00,,0.00
4/19,,,,,,0.00,,0.00
4/20,,,,,,0.00,,0.00
4/21,,,,,,0.00,,0.00
4/22,,,,,,0.00,,0.00
4/23,,,,,,0.00,,0.00
4/24,,,,,,0.00,,0.00
4/25,,,,,,0.00,,0.00
4/26,,,,,,0.00,,0.00
4/27,,,,,,0.00,,0.00
4/28,,,,,,0.00,,0.00
4/29,,,,,,0.00,,0.00
4/30,,,,,,0.00,,0.00
Apr-2026 Total,$0.00 ,0,0,,0,0.00,0,0.00
5/1,,,,,,0.00,,0.00
5/2,,,,,,0.00,,0.00
5/3,,,,,,0.00,,0.00
5/4,,,,,,0.00,,0.00
5/5,,,,,,0.00,,0.00
5/6,,,,,,0.00,,0.00
5/7,,,,,,0.00,,0.00
5/8,,,,,,0.00,,0.00
5/9,,,,,,0.00,,0.00
5/10,,,,,,0.00,,0.00
5/11,,,,,,0.00,,0.00
5/12,,,,,,0.00,,0.00
5/13,,,,,,0.00,,0.00
5/14,,,,,,0.00,,0.00
5/15,,,,,,0.00,,0.00
5/16,,,,,,0.00,,0.00
5/17,,,,,,0.00,,0.00
5/18,,,,,,0.00,,0.00
5/19,,,,,,0.00,,0.00
5/20,,,,,,0.00,,0.00
5/21,,,,,,0.00,,0.00
5/22,,,,,,0.00,,0.00
5/23,,,,,,0.00,,0.00
5/24,,,,,,0.00,,0.00
5/25,,,,,,0.00,,0.00
5/26,,,,,,0.00,,0.00
5/27,,,,,,0.00,,0.00
5/28,,,,,,0.00,,0.00
5/29,,,,,,0.00,,0.00
5/30,,,,,,0.00,,0.00
5/31,,,,,,0.00,,0.00
May-2026 Total,$0.00 ,0,0,,0,0.00,0,0.00
